1968600028,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_3.jpg,Plain Mapo Tofu,$4.25,Sesame Chicken,$4.75,Orange Chicken,$4.75,General Tso's Chicken,$4.75,Mapo Tofu W. Chicken or Pork,$4.25,Mapo Tofu W. Beef or Shrimp,$4.50,Oriental Beef,$5.50,Ginger Chicken,$4.50,Crispy Fish,$4.75,BBQ Pork,$5,BBQ Chicken,$4.75,Boneless Spare Ribs,$4.75
1968670783,https://dl.dropboxusercontent.com/u/17481094/6foodtruck_3.jpg,Grilled Chicken Over Rice,$4,,,,,,,Grilled Fish Over Rice,$4,,,,,,,,,,,,,,
1968628811,https://dl.dropboxusercontent.com/u/17481094/8foodtruck_3.jpg,Chicken Over Rice,$4.75,Shrimp Over Rice,$4.75,Fish Salad,$4.75,Chicken Cheese Steak,$4.75,Lamb Over Rice,$4.75,Chicken Kofta W/ Rice,$4.75,Chicken Kabab W/ Rice,$4.75,Fish Over Rice,$4.75,Chicken Salad,$4.75,Gyro,$4.75,Chicken Kabab on Pita,$4.75,Falafel Sandwich,$4.75
1968595211,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_3.jpg,Chicken Over Rice,$5,,,,,,,Lamb Over Rice,$5,Combo Platter,$0,Falafel Over Rice,$5,Fish Over Rice,$0,Chicken & Falafel W/ Rice,$5,Falafel,$4,,,,
1968591016,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_3.jpg,Fresh Mushroom Chicken,$4.50,,,,,,,Kung Pao Chicken,$4.50,Pepper Onion Chicken,$4.50,Pineapple Chicken,$4.50,String Bean Chicken,$4.50,Snow Pea Chicken,$4.50,Curry Chicken,$4.50,,,,
1968640775,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_3.jpg,O.G. Dog,$5,,,,,,,Bee Dog,$3,Kimchi Dog,$3,Thai BBQ Chicken Wrap,$6,Tofu Wrap,$5,,,,,,,,
1968081546,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_3.jpg,Bella Donna,$4.50,,,,,,,El Gringo,$4.50,Seizan,$6,Foo Chow,$4.50,Geisha,$4.50,Bedouin,$4.50,Adriani,$4.50,Combo Meal (Choice of Two),$7,,
1968626092,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_3.jpg,BLT Short,$3.50,,,,,,,BLT Long,$5,Grilled Cheese,$2,Bagel W/ Cream Cheese,$1.25,Bagel Grilled W/ Cream Cheese,$1.50,Muffin Grilled W/ Butter,$1.50,,,,,,
1968595145,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_3.jpg,Grilled Chicken Breast,$4,,,,,,,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Ham Burger,$3,Cheese Burger,$3.50,Double Cheese Burger,$5,Bacon Cheese Burger,$4,Turkey Burger,$3,Turkey Cheese Burger,$3.50
1968670780,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_3.jpg,Cheese Burger,$3,,,,,,,Chicken Cheese Steak,$5,Hamburger,$2.50,Bacon Cheese Burger,$4,Double Cheese Burger,$5,Salmon Burger,$3,Salmon Cheese Burger,$3.50,Tuna Salad,$4,Chicken Salad,$4
1968626100,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1968660941,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_3.jpg,Burritos Meat,$6,Nachos Supreme Veggie,$5,Quesadilla,$6,Quesadilla Veggie,$5.50,Burritos Veggie,$5,Tacos Meat (2),$5,Tacos Veggie (2),$4,Taco Salad Meat,$5.50,Taco Salad Veggie,$5,Enchiladas Meat (2),$7,Enchiladas Veggie (2),$6,Nachos Supreme Meat,$5.50
1968594580,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_3.jpg,Chicken W Rice,$5,,,,,,,Lamb W Rice,$5,Combo W Rice,$6,Falafel W Rice,$4,Tilapia Fish W Rice,$6,,,,,,,,
1968587285,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_3.jpg,Shrimp With Broccoli,$4.25,Shrimp With Kung Pao,$4.50,Shrimp With Cashew,$4.50,,,Shrimp With Sweet & Sour,$4.25,Shrimp With Sesame,$4.25,Shrimp With Hot Spicy,$4.25,Shrimp With Garlic/Curry,$4.25,Shrimp With Egg Plant,$5,Shrimp With Bean Curd,$4.50,Shrimp With Snow Peas,$4.25,Shrimp with Teriyaki,$4.25
1968587287,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_3.jpg,Chicken Breast Sandwich,$0,,,,,,,Chicken Leg and Thigh,$0,Chicken Wing Sandwich,$0,Fish Sandwich,$0,Wings and Fries,$0,,,,,,,,
1968657641,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_3.jpg,Fresh Cut Fries,$3,,,,,,,Fries and a Sandwich,$9,Truck-Made Chips,$2.50,Chips and Sandwich,$8.50,,,,,,,,,,
1968616587,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1968633191,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_3.jpg,Steamed Rice (Pt.),$1,Beef Fried Rice (Qt.),$5,Shrimp Fried Rice (Pt.),$3.25,Shrimp Fried Rice (Qt.),$5.75,Steamed Rice (Qt.),$2,Plain Fried Rice (Pt.),$1,Plain Fried Rice (Qt.),$2,Veg. Fried Rice (Pt.),$2.50,Veg. Fried Rice (Qt.),$4.25,Chicken or Pork Fried Rice (Pt.),$2.75,Chicken or Pork Fried Rice (Qt.),$4.75,Beef Fried Rice (Pt.),$3
1968607027,https://dl.dropboxusercontent.com/u/17481094/29foodtruck_3.jpg,Rice & Bean Quesadilla,$5,,,,,,,Carnitas,$6,Chicken,$6,Spinach and Pepper,$6,Barbacoa,$5.75,,,,,,,,
1968660940,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_4.jpg,Pork Katsu,$5,,,,,,,Tofu Teriyaki,$4.50,Meatball Pho,$6,Chicken Hibachi,$5,Tofu Hibachi a La Carte,$5,Beef Hibachi,$5.50,Chicken Yakiudon,$5,Tuna Teriyaki,$6,Salmon Hibachi,$6
1968657639,https://dl.dropboxusercontent.com/u/17481094/3foodtruck_4.jpg,American Cheese Hoagie,$4,Turkey With Cheese Hoagie,$4.50,Vegetable and Cheese Hoagie,$3.75,Beef Meatball and Cheese,$4,Swiss or Provolone Cheese Hoagie,$4,Corned Beef Hoagie,$4.50,Roast Beef Hoagie,$4.50,Chicken Salad Hoagie,$4.75,Egg Salad BLT Hoagie,$4.50,Tuna Salad Hoagie,$4.50,Egg Salad Hoagie,$4,Italian Hoagie,$4.75
1968596699,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_4.jpg,,,,,,,,,,,,,,,,,,,,,,,,
