1968595411,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_1.jpg
1968593280,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_1.jpg
1968594258,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_1.jpg,Muffin,$1.25,,,,,,,Muffin Tast,$1.50,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_1.jpg
1968600907,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_1.jpg,Sausage Egg and Cheese,$2.30,,,,,,,Pork Roll Egg and Cheese,$2.30,Scrapple Egg and Cheese,$2,Egg Sandwich,$2,Egg & Cheese,$2,Muffin,$1.25,Muffin Toast,$1.50,,,,,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_1.jpg
1968596199,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_1.jpg,Bean,$2.50,VEGGIE,$5,Stradef Beaf,$4.50,Strimp,$5,Sweet Potato,$3.50,Roaster Peppers,$3.50,Spinach,$3.50,Eggplant,$3.50,PLANTAIN,$3.50,Tofu,$3.50,Plain Kachos,$3.50,RICE AN BEAN,$1.50,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_1.jpg
1968615373,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_1.jpg
1968622540,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_1.jpg,1,$2,1,$1.00,1,$1,1,$1.00,1,$1,1,$1,1,$1,1,$1,1,$1,1,$1,1,$1,1,$1.00,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_1.jpg
1968600408,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_1.jpg,Taco,$5,Sour Cream,$1,Extra Cheese,$1,Whole Meat,$0.26,Taco Salad,$5.50,Burritos,$6,Nachos Supreme,$5.50,Enchiladas,$7,Taco 2,$5,Quesadilla,$6,Chips and Guacamole,$3,fresh guacamole,$1,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_1.jpg
1968601830,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_1.jpg,Burritos,$6,Whole Meat,$0.26,Extra Cheese,$1,Extra Sour Cream,$1,Tacos,$4,Taco Salad,$5,Enchiladas,$6,Nachos Supreme,$5,Quesadilla,$5.50,Chips & Guacamole,$3,Grilled Plantains,$1,fresh guacomole,$1,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_1.jpg
1968614321,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_1.jpg,Burritos,$6,,,,,,,Enchiladas,$7,Tacos,$5,Nachos Supreme,$5.50,Taco Salad,$5.50,Quesadilla,$6,,,,,,,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_1.jpg
